,CompanyID,ROA,BaseSalaryDivTotalComp,DESCRIPTION
0,1,,0.86,"internetworking products including ATM switches, Routers, hubs, remote"
1,2,0.12,0.58,web software & services
2,3,2.33,0.57,online banking
3,4,-11.98,0.87,network services & web based IT
4,5,3.86,0.78,digital integrated circuits
5,6,5.3,0.68,mfg personal computers
6,60,,0.85,visual data transmission
7,59,,0.88,engineering for aerospace industry
8,58,,0.87,sensing devices for security applications
9,57,,0.87,R&D for defense industry
10,56,,0.91,R&D for weapons & space systems
